,layers,thresholds,learning rates,epochs,layer_n,epoch,train accuracy,validation accuracy
206,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,8,0.35046666860580444,0.32739999890327454
207,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,9,0.36855554580688477,0.3346000015735626
208,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,10,0.37877777218818665,0.34139999747276306
209,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,11,0.3765999972820282,0.3319999873638153
210,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,12,0.37353333830833435,0.3467999994754791
211,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,13,0.37682223320007324,0.35359999537467957
212,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,14,0.39782223105430603,0.34220001101493835
213,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,15,0.3757777810096741,0.33820000290870667
214,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,16,0.37228888273239136,0.36039999127388
215,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,17,0.3878222107887268,0.32100000977516174
216,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,18,0.3632666766643524,0.33320000767707825
217,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,19,0.3839111030101776,0.3546000123023987
218,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,20,0.37835556268692017,0.35600000619888306
219,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,21,0.39082223176956177,0.3571999967098236
220,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,22,0.40317776799201965,0.35120001435279846
221,"[3072, 100, 500]","[1, 1]","[0.1, 0.1]","[40, 30]",1,23,0.3981333374977112,0.3637999892234802
